Distance_(pixels),Gray_Value
896,203.3333
897,204.3333
898,204.3333
899,200.6667
900,201.6667
901,205.6667
902,205.6667
903,201.3333
904,204.3333
905,203.6667
906,206.3333
907,203.3333
908,206.6667
909,204.0000
910,202.3333
911,200.0000
912,200.6667
913,200.3333
914,204.0000
915,202.0000
916,205.0000
917,203.3333
918,205.3333
919,203.6667
920,203.6667
921,205.3333
922,205.3333
923,203.3333
924,203.0000
925,204.0000
926,205.0000
927,203.6667
928,209.3333
929,207.3333
930,205.3333
931,204.0000
932,208.0000
933,204.3333
934,203.3333
935,205.3333
936,206.6667
937,207.0000
938,206.0000
939,204.6667
940,203.6667
941,204.0000
942,206.0000
943,202.6667
944,202.6667
945,207.3333
946,208.3333
947,206.3333
948,205.6667
949,205.3333
950,208.6667
951,207.6667
952,206.6667
953,204.6667
954,207.6667
955,206.3333
956,207.3333
957,206.3333
958,207.0000
959,206.0000
960,207.6667
961,205.6667
962,204.3333
963,203.6667
964,202.3333
965,205.0000
966,206.0000
967,204.0000
968,203.3333
969,203.3333
970,203.3333
971,204.3333
972,204.3333
973,204.3333
974,203.3333
975,201.0000
976,202.0000
977,202.0000
978,202.0000
979,203.0000
980,202.6667
981,201.6667
982,201.6667
983,204.6667
984,205.0000
985,203.0000
986,202.6667
987,203.6667
988,205.6667
989,206.6667
990,209.3333
991,206.3333
992,203.3333
993,201.3333
994,200.3333
995,202.0000
996,204.0000
997,205.6667
998,206.6667
999,203.0000
1000,203.0000
1001,202.0000
1002,203.0000
1003,204.0000
1004,202.6667
1005,202.6667
1006,207.0000
1007,205.0000
1008,205.3333
1009,202.3333
1010,203.3333
1011,201.3333
1012,204.3333
1013,203.0000
1014,205.3333
1015,207.0000
1016,206.0000
1017,202.3333
1018,198.3333
1019,198.0000
1020,200.0000
1021,200.6667
1022,200.6667
1023,204.6667
1024,203.3333
1025,201.3333
1026,200.6667
1027,200.6667
1028,201.6667
1029,200.6667
1030,201.0000
1031,201.0000
1032,203.0000
1033,200.3333
1034,203.0000
1035,200.6667
1036,201.6667
1037,197.6667
1038,199.6667
1039,201.0000
1040,201.6667
1041,202.0000
1042,202.0000
1043,202.0000
1044,202.0000
1045,203.3333
1046,203.0000
1047,203.0000
1048,205.6667
1049,201.0000
1050,202.0000
1051,202.0000
1052,206.0000
1053,202.6667
1054,203.6667
1055,204.6667
1056,206.6667
1057,205.0000
1058,206.0000
1059,204.3333
1060,205.3333
1061,202.0000
1062,200.0000
1063,203.3333
1064,206.3333
1065,205.3333
1066,201.3333
1067,204.3333
1068,207.3333
1069,205.0000
1070,201.0000
1071,199.6667
1072,205.6667
1073,205.6667
1074,205.6667
1075,199.6667
1076,200.0000
1077,199.3333
1078,201.3333
1079,202.0000
1080,204.0000
1081,204.0000
1082,204.6667
1083,202.6667
1084,199.6667
1085,201.6667
1086,202.0000
1087,203.3333
1088,203.0000
1089,203.3333
1090,202.3333
1091,201.0000
1092,202.0000
1093,203.3333
1094,205.3333
1095,201.0000
1096,202.3333
1097,202.0000
1098,200.0000
1099,200.0000
1100,200.0000
1101,200.6667
1102,200.6667
1103,198.6667
1104,200.6667
1105,201.6667
1106,202.6667
1107,199.6667
1108,203.6667
1109,199.6667
1110,199.6667
1111,201.3333
1112,201.3333
1113,201.0000
1114,204.0000
1115,201.3333
1116,203.3333
1117,201.3333
1118,203.3333
1119,200.3333
1120,203.3333
1121,202.3333
1122,204.0000
1123,200.3333
1124,202.3333
1125,198.3333
1126,198.0000
1127,199.3333
1128,199.3333
1129,197.3333
1130,200.3333
1131,199.0000
1132,202.0000
1133,199.0000
1134,198.3333
1135,198.3333
1136,198.0000
1137,194.0000
