Distance_(unit),Gray_Value
240.722,166.6756
241.164,166.9787
241.605,167.9395
242.047,171.3333
242.489,169.7920
242.930,172.2444
243.372,176.6667
243.814,179.4702
244.256,178.4809
244.697,178.8338
245.139,181.3333
245.581,182.4124
246.022,181.5950
246.464,186.6667
246.906,189.5298
247.347,188.5689
247.789,188.6667
248.231,189.6895
248.672,191.9870
249.114,196.3138
249.556,195.6178
249.998,197.5982
250.439,199.2747
250.881,198.6308
251.323,196.3333
251.764,195.9511
252.206,198.2225
252.648,200.2095
253.089,201.0000
253.531,200.7751
253.973,201.4222
254.414,201.6667
254.856,202.8557
255.298,203.3333
255.740,201.6773
256.181,199.9911
256.623,201.0000
257.065,205.3333
257.506,203.1351
257.948,202.7538
258.390,201.2267
258.831,205.7206
259.273,203.1736
259.715,202.9973
260.156,201.0364
260.598,204.0000
261.040,200.5138
261.482,202.3078
261.923,201.3511
262.365,204.4853
262.807,202.3644
263.248,204.7470
263.690,201.9680
264.132,202.2782
264.573,202.8563
265.015,207.6222
265.457,205.1801
265.898,204.2116
266.340,201.6667
266.782,203.1064
267.224,202.8311
267.665,204.8507
268.107,204.4071
268.549,207.4462
268.990,205.6969
269.432,207.6904
269.874,206.5636
270.315,208.6027
270.757,207.0125
271.199,205.0000
271.640,205.0800
272.082,206.1387
272.524,205.6667
272.966,207.4960
273.407,209.0000
273.849,208.0000
274.291,207.0000
274.732,210.7819
275.174,204.7277
275.616,204.0720
276.057,201.4444
276.499,204.9890
276.941,205.7538
277.382,205.4794
277.824,206.2003
278.266,206.9600
278.708,206.3582
279.149,204.3591
279.591,204.2524
280.033,205.9941
280.474,205.5319
280.916,204.3751
281.358,205.0862
281.799,205.6667
282.241,208.6667
282.683,208.6356
283.124,204.9911
283.566,204.4480
284.008,207.6667
284.450,210.4480
284.891,208.2267
285.333,202.7342
285.775,203.6951
286.216,202.6560
286.658,203.9751
287.100,206.3778
287.541,202.1413
287.983,205.4160
288.425,206.5132
288.866,206.4560
289.308,206.0000
289.750,205.8284
290.192,206.8480
290.633,207.0000
291.075,206.6667
291.517,205.9689
291.958,204.7650
292.400,204.7751
292.842,203.0693
293.283,204.0151
293.725,204.6711
294.167,202.7387
294.608,204.0435
295.050,206.9369
295.492,206.0027
295.934,204.0267
296.375,203.8782
296.817,202.1413
297.259,204.1073
297.700,205.3007
298.142,201.4667
298.584,199.9840
299.025,204.4276
299.467,205.6667
299.909,206.2231
300.350,204.8578
300.792,203.2693
301.234,203.3369
301.676,205.0495
302.117,207.2880
302.559,203.0696
303.001,206.0062
303.442,205.5653
303.884,207.2418
304.326,203.3333
304.767,204.5067
305.209,205.9914
305.651,210.8009
306.092,204.8853
306.534,202.8101
306.976,203.4548
307.418,204.9644
307.859,203.9861
308.301,204.2504
308.743,206.2124
309.184,206.2000
309.626,207.9164
310.068,206.3333
310.509,205.0809
310.951,204.8676
311.393,204.8578
311.834,205.0646
312.276,205.1742
312.718,204.3093
313.159,204.6847
313.601,206.1926
314.043,202.8587
314.485,206.5902
314.926,202.9810
315.368,205.0747
315.810,205.0356
316.251,203.3280
316.693,204.2267
317.135,201.8773
317.576,204.2729
318.018,206.3333
